Facility,TRIF ID,Latitude,Longitude,total_releases_on-off-site_lbs
"BLANCHARD REFINING CO LLC.2401 5TH AVE S, TEXAS CITY TEXAS 77590 (GALVESTON)",7759WBLNCH2415T,29.379,-94.929,"3,415,878.56"
"DELAWARE CITY REFINERY.4550 WRANGLE HILL RD, DELAWARE CITY DELAWARE 19706 (NEW CASTLE)",19706TXCDL2000W,39.589,-75.636,"2,824,746.71"
"PHILLIPS 66 CO-BAYWAY REFINERY.1400 PARK AVE, LINDEN NEW JERSEY 07036 (UNION)",07036XXNXX1400P,40.637,-74.22,"2,802,039.33"
"USS-CLAIRTON PLANT.400 STATE ST MS 71, CLAIRTON PENNSYLVANIA 15025 (ALLEGHENY)",15025SSCLR400ST,40.306,-79.877,"2,399,893.37"
"VALERO REFINING-TEXAS LP CORPUS CHRISTI WEST PLANT.5900 UP RIVER RD, CORPUS CHRISTI TEXAS 78407 (NUECES)",78469VLRRF5900U,27.818,-97.483,"2,340,437.84"
"CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC.324 W EL SEGUNDO BLVD, EL SEGUNDO CALIFORNIA 90245 (LOS ANGELES)",90245CHVRN324WE,33.908,-118.411,"2,166,728.33"
"EXXONMOBIL REFINING & SUPPLY BATON ROUGE REFINERY (PART).4045 SCENIC HWY, BATON ROUGE LOUISIANA 70805 (EAST BATON ROUGE PARISH)",70805XXNBT4050S,30.485,-91.174,"1,976,455.70"
"EXXONMOBIL REFINING & SUPPLY BAYTOWN REFINERY (PART).2800 DECKER DR, BAYTOWN TEXAS 77520 (HARRIS)",77522XXNBY2800D,29.739,-95.007,"1,884,902.60"
"VALERO REFINING-TEXAS LP.1301 LOOP 197 S, TEXAS CITY TEXAS 77590 (GALVESTON)",77592TXSCTLOOP1,29.369,-94.911,"1,843,771.47"
"CHEVRON PRODUCTS CO PASCAGOULA REFINERY.250 IND US TRIAL RD, PASCAGOULA MISSISSIPPI 39581 (JACKSON)",39567CHVRNPOBOX,30.344,-88.494,"1,620,968.50"
"CITGO PETROLEUM CORP.1601 HWY 108 E, SULPHUR LOUISIANA 70665 (CALCASIEU PARISH)",70602CTGPTHIGHW,30.193,-93.34,"1,538,189.10"
"DIAMOND SHAMROCK REFINING CO LP.6701 FM 119, SUNRAY TEXAS 79086 (MOORE)",79086DMNDSSTARR,35.952,-101.874,"1,505,561.92"
"PHILLIPS 66 LAKE CHARLES REFINERY.2200 OLD SPANISH TRAIL, WESTLAKE LOUISIANA 70669 (CALCASIEU PARISH)",70669CNCLKOLDSP,30.242,-93.274,"1,455,180.56"
"MOTIVA-PORT ARTHUR REFINERY.2555 SAVANNAH AVE, PORT ARTHUR TEXAS 77640 (JEFFERSON)",77640TXCRFNORTH,29.883,-93.958,"1,389,022.60"
"FLINT HILLS RESOURCES CORPUS CHRISTI LLC - WEST PLANT.2825 SUNTIDE RD, CORPUS CHRISTI TEXAS 78409 (NUECES)",78410KCHRFSUNTI,27.832,-97.526,"1,366,401.40"
"PAULSBORO REFINING CO LLC.800 BILLINGSPORT RD, PAULSBORO NEW JERSEY 08066 (GLOUCESTER)",08066MBLLCBILLI,39.84,-75.257,"1,313,551.90"
"VALERO REFINING - NEW ORLEANS LLC.14902 RIVER RD, NORCO LOUISIANA 70079 (ST CHARLES PARISH)",70047TRNSM14902,29.985,-90.393,"1,197,546.50"
"WOOD RIVER REFINERY.900 S CENTRAL AVE, ROXANA ILLINOIS 62084 (MADISON)",62084SHLLLRTE11,38.836,-90.067,"1,176,558.00"
"FLINT HILLS RESOURCES CORPUS CHRISTI LLC - EAST PLANT.1700 NUECES BAY BLVD, CORPUS CHRISTI TEXAS 78407 (NUECES)",78408STHWS1700N,27.804,-97.424,"1,059,353.00"
"PHILLIPS 66 SAN FRANCISCO REFINERY.1380 SAN PABLO AVE, RODEO CALIFORNIA 94572 (CONTRA COSTA)",94572NCLSNOLDHI,38.044,-122.253,"1,046,431.95"
"BP PRODUCTS NORTH AMERICA WHITING BUSINESS UNIT.2815 INDIANAPOLIS BLVD, WHITING INDIANA 46394 (LAKE)",46394MCLCX2815I,41.663,-87.48,"1,030,079.03"
"DEER PARK REFINING LP.5900 HWY 225 EAST, DEER PARK TEXAS 77536 (HARRIS)",77536DRPRK5900H,29.711,-95.119,"1,015,194.91"
"ERGON REFINING INC.2611 HAINING RD, VICKSBURG MISSISSIPPI 39183 (WARREN)",39181RGNRFPOBOX,32.389,-90.906,"1,001,092.00"
"CHEVRON PRODUCTS CO RICHMOND REFINERY.841 CHEVRON WAY, RICHMOND CALIFORNIA 94801 (CONTRA COSTA)",94802CHVRN841ST,37.939,-122.396,"962,071.60"
"MARATHON PETROLEUM CO LP.4663 W AIRLINE HWY, GARYVILLE LOUISIANA 70051 (ST JOHN THE BAPTIST PARIS)",70051MRTHNHWY61,30.061,-90.594,"937,997.01"
"VALERO REFINING CO-CALI FORNIA BENICIA REFINERY.3400 E SECOND ST, BENICIA CALIFORNIA 94510 (SOLANO)",94510XXNCS3400E,38.075,-122.144,"893,613.93"
"TESORO LOS ANGELES REFINERY-CARSON OPERATIONS.2350 E 223RD ST, CARSON CALIFORNIA 90810 (LOS ANGELES)",90749RCPRD1801E,33.813,-118.243,"851,779.50"
"CHALMETTE REFINING LLC.500 W ST BERNARD HWY, CHALMETTE LOUISIANA 70043 (ST BERNARD PARISH)",70143TNNCL500WE,29.936,-89.973,"826,469.00"
"FLINT HILLS RESOURCES PINE BEND LLC.13775 CLARK RD, ROSEMOUNT MINNESOTA 55068 (DAKOTA)",55164KCHRFPOBOX,44.768,-93.041,"815,946.50"
"INTERNATIONAL WAXES INC.45 RT 446, SMETHPORT PENNSYLVANIA 16749 (MCKEAN)",16749QKRSTINTER,41.861,-78.445,"805,475.47"
"EXXONMOBIL OIL BEAUMONT REFINERY.E END OF BURT ST, BEAUMONT TEXAS 77701 (JEFFERSON)",77701BMNTREASTE,30.066,-94.071,"746,582.00"
"CITGO REFINING & CHEMICALS CO LP EAST PLANT.1801 NUECES BAY BLVD, CORPUS CHRISTI TEXAS 78407 (NUECES)",78408CHMPL1801N,27.811,-97.427,"731,574.03"
"PETROCHOICE DYNAMO LLC.2824 N OHIO, WICHITA KANSAS 67219 (SEDGWICK)",67219NVRSL2824N,37.735,-97.324,"689,674.00"
"PHILLLIPS 66 CO BORGER REFINERY.STATE HWY SPUR 119 N, BORGER TEXAS 79007 (HUTCHINSON)",79008PHLLPSTATE,35.703,-101.363,"660,647.00"
"PREMCOR REFINING GROUP INC PORT ARTHUR.1801 S GULFWAY DR, PORT ARTHUR TEXAS 77640 (JEFFERSON)",77640CLRKR1801S,29.868,-93.968,"648,982.59"
"MOUNTAIN STATE CARBON LLC.1851 MAIN ST, FOLLANSBEE WEST VIRGINIA 26037 (BROOKE)",26037WHLNGROUTE,40.344,-80.607,"647,072.00"
"CATLETTSBURG REFINING LLC.11631 US RT 23, CATLETTSBURG KENTUCKY 41129 (BOYD)",41114CTLTTPOBOX,38.377,-82.597,"628,737.60"
"TOTAL PETROCHEMICALS & REFINING USA INC-PORT ARTHUR REFI.7600 32ND ST, PORT ARTHUR TEXAS 77642 (JEFFERSON)",77640FNLNDHIGHW,29.98,-93.882,"623,895.91"
"PHILLIPS 66 PONCA CITY SITE.1000 S PINE ST, PONCA CITY OKLAHOMA 74601 (KAY)",74603CNCPN1000S,36.688,-97.088,"613,341.84"
"EXXONMOBIL OIL CORP JOL IET REFINERY.INTERSTATE 55 & ARSENAL RD EAST, CHANNAHON ILLINOIS 60410 (WILL)",60434MBLJLINTER,41.414,-88.183,"607,517.14"
"SHELL OIL PRODUCTS US-MARTINEZ REFINERY.3485 PACHECO BLVD, MARTINEZ CALIFORNIA 94553 (CONTRA COSTA)",94553SHLLL3485P,38.017,-122.115,"606,575.71"
"TESORO REFINING & MARKETING CO LLC.150 SOLANO WAY, MARTINEZ CALIFORNIA 94553 (CONTRA COSTA)",94553TSCCRAVONR,38.025,-122.064,"602,792.90"
"HOLLYFRONTIER EL DORADO REFINING LLC.1401 S DOUGLAS RD, EL DORADO KANSAS 67042 (BUTLER)",67042TXCRF1401S,37.799,-96.867,"600,905.60"
"PHILLIPS 66 CO SWEENY REFINERY COMPLEX.8189 OLD FM 524, OLD OCEAN TEXAS 77463 (BRAZORIA)",77480PHLLPSH35A,29.071,-95.75,"589,483.55"
"VALERO REFINING CO - TENNESSEE LLC.2385 RIVERPORT ROAD, MEMPHIS TENNESSEE 38109 (SHELBY)",38109MPCPT543WE,35.086,-90.083,"587,304.26"
"BP-HUSKY REFINING LLC.4001 CEDAR POINT RD, OREGON OHIO 43616 (LUCAS)",43616SHLCM4001C,41.679,-83.45,"580,111.60"
"VALERO REFINING - TEXAS LP HOUSTON REFINERY.9701 MANCHESTER, HOUSTON TEXAS 77012 (HARRIS)",77012HLLPT9701M,29.722,-95.254,"578,703.00"
"MARATHON PETROLEUM CO LP ILLINOIS REFINING DIV.100 MARATHON AVE, ROBINSON ILLINOIS 62454 (CRAWFORD)",62454MRTHNMARAT,38.999,-87.725,"547,529.12"
"VALERO REFINING TEXAS LP CORPUS CHRISTI EAST PLANT.1300 CANTWELL LN, CORPUS CHRISTI TEXAS 78407 (NUECES)",78403CSTLR1300C,27.811,-97.437,"521,682.40"
"PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY.3144 PASSYUNK AVE, PHILADELPHIA PENNSYLVANIA 19145 (PHILADELPHIA)",19145TLNTC3144P,39.914,-75.199,"496,121.80"
"OXBOW CALCINING LLC.3901 COKE DOCK RD, PORT ARTHUR TEXAS 77640 (JEFFERSON)",77640GRTLKCOKED,29.835,-93.964,"482,537.80"
"IES DOWNSTREAM LLC - KAPOLEI REFINERY.91-480 MALAKOLE ST, KAPOLEI HAWAII 96707 (HONOLULU)",96707CHVRN91480,21.31,-158.112,"479,829.08"
"MONROE ENERGY LLC-TRAINER REFINERY.4101 POST RD, TRAINER PENNSYLVANIA 19061 (DELAWARE)",19061BPLCMPOSTR,39.829,-75.401,"452,780.70"
"LNVA-NORTH REGIONAL TREATMENT PLANT.2655 GULF STATES RD, BEAUMONT TEXAS 77701 (JEFFERSON)",77704NCHSRGULFS,30.064,-94.061,"424,180.00"
"VALERO THREE RIVERS REFINERY.301 LEROY ST, THREE RIVERS TEXAS 78071 (LIVE OAK)",78071DMNDS301LE,28.457,-98.19,"423,965.60"
"PHILLIPS 66  - ALLIANCE REFINERY.15551 HIGHWAY 23, BELLE CHASSE LOUISIANA 70037 (PLAQUEMINES PARISH)",70037LLNCRHIGHW,29.68,-89.981,"397,337.50"
"MOTIVA ENTERPRISES LLC NORCO REFINERY.15536 RIVER RD, NORCO LOUISIANA 70079 (ST CHARLES PARISH)",70079MTVNR15536,30.001,-90.402,"396,126.68"
"ALON REFINING KROTZ SPRINGS INC.HWY 105 S, KROTZ SPRINGS LOUISIANA 70750 (ST LANDRY PARISH)",70750HLLPTHWY10,30.527,-91.748,"380,451.30"
"CONVENT REFINERY.FOOT OF SUNSHINE BRIDGE- LA HW Y 44, CONVENT LOUISIANA 70723 (ST JAMES PARISH)",70723TXCRFFOOTO,30.108,-90.897,"373,567.23"
"TESORO MANDAN REFINERY.900 OLD RED TRAIL NE, MANDAN NORTH DAKOTA 58554 (MORTON)",58554MCLCMNORTH,46.851,-100.881,"360,543.20"
