frs_id, RADIUS_OF_AREA, CENTER_LATITUDE, CENTER_LONGITUDE, TOTAL_PERSONS, LAND_AREA, WATER_AREA, POPULATION_DENSITY, MINORITY_POPULATION, HOUSEHOLDS, HOUSING_UNITS, HOUSEHOLDS_PUBLIC_ASSISTANCE, PERSONS_BELOW_POVERTY_LEVEL, WHITE_POPULATION,pct_wh, AFRICAN_AMERICAN_POPULATION,pct_aa, HISPANIC_ORIGIN_POPULATION,pct_hi, ASIAN_PACIFIC_ISLANDER_POP,pct_api, AMERICAN_INDIAN_POPULATION,pct_ai, OTHER_MULTIRACIAL_POPULATION,pct_mr, CHILD_5_0_POPULATION, MINORS_17_0_POPULATION, ADULTS_18_PLUS_POPULATION, SENIORS_65_PLUS_POPULATION, LESS_THAN_9TH_GRADE_POPULATION, GRADES_9_12_POPULATION, HIGH_SCHOOL_DIPLOMA_POPULATION, SOME_COLLEGE_POPULATION, BS_BA_OR_MORE_POPULATION, INCOME_LESS_15K_HSHLDS,pct_less_15k, INCOME_15K_25K_HSHLDS,pct_15k_25k, INCOME_25K_50K_HSHLDS,pct_25k_50k, INCOME_50K_75K_HSHLDS,pct_50k_75k, INCOME_GREATER_75K_HSHLDS,pct_greater_75k, ACS_POPULATION
110000307864,3,17.7102,-64.7544,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
110000307864,5,17.7102,-64.7544,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
110000307864,1,17.7102,-64.7544,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
110000316104,3,41.38555,-72.50882,4827,27.6694,0.6057,174.44,281,2064,2287,75,404,4625,0.9582,71,0.0147,102,0.0211,52,0.0108,10,0.0021,70,0.0145,172,974,3853,1082,36,321,909,862,1243,40,0.0194,118,0.0572,404,0.1957,398,0.1928,930,0.4506,4473
110000316104,1,41.38555,-72.50882,608,3.0976,0.0129,196.28,35,333,395,1,46,583,0.9589,14,0.0230,11,0.0181,6,0.0099,1,0.0016,5,0.0082,14,79,529,242,0,20,96,83,179,9,0.0270,4,0.0120,35,0.1051,49,0.1471,118,0.3544,483
110000321189,3,39.840932,-75.226205,21685,22.6398,5.7239,957.84,5156,8731,9537,375,4920,17050,0.7863,3359,0.1549,1044,0.0481,387,0.0178,42,0.0019,849,0.0392,1349,4906,16779,3321,447,1409,6039,3462,3603,923,0.1057,683,0.0782,1759,0.2015,1757,0.2012,3401,0.3895,21138
110000321189,1,39.840932,-75.226205,2745,2.5084,0.5668,1094.33,654,1095,1172,127,632,2160,0.7869,420,0.1530,159,0.0579,20,0.0073,12,0.0044,133,0.0485,188,639,2106,421,64,212,1059,451,388,120,0.1096,126,0.1151,231,0.2110,307,0.2804,421,0.3845,3192
110000321189,5,39.840932,-75.226205,103003,66.7232,11.7704,1543.74,30972,40717,43551,1198,24969,74130,0.7197,22976,0.2231,4312,0.0419,2186,0.0212,198,0.0019,3513,0.0341,6496,23717,79287,14357,2261,6234,28183,19220,14822,4318,0.1060,3378,0.0830,8759,0.2151,7918,0.1945,15625,0.3837,102156
110000329190,3,40.69746,-80.27204,32383,26.4311,1.6929,1225.17,2786,13859,15172,464,9872,29842,0.9215,1542,0.0476,411,0.0127,157,0.0048,27,0.0008,815,0.0252,1744,6625,25757,6301,796,1989,9817,6591,4332,2493,0.1799,1675,0.1209,4021,0.2901,2761,0.1992,3111,0.2245,31983
110000329190,1,40.69746,-80.27204,6977,2.5965,0.5168,2687.07,857,3105,3514,154,2428,6163,0.8833,537,0.0770,101,0.0145,19,0.0027,11,0.0016,247,0.0354,390,1403,5574,1238,177,573,2203,1407,760,675,0.2174,422,0.1359,1015,0.3269,636,0.2048,522,0.1681,7027
