frs_id,facility_name,facility_name_2,facility_name_3,total_releases_on-off-site_lbs,radius,total_persons,land_area,water_area,pop_density,minority_pop,households,housing_units,households_public_assistance,persons_below_poverty_level,white_pop,pct_wh,african_american_pop,pct_aa,hispanic_origin_pop,pct_hi,asian_pacific_islander_pop,pct_api,american_indian_pop,pct_ai,multiracial_pop,pct_mr,child_5_0_pop,minors_17_0_pop,adults_18_plus_pop,seniors_65_plus_pop,less_than_9th_grade_pop,grades_9_12_pop,high_school_diploma_pop,some_college_pop,bs_ba_more_pop,income_less_15k_house,pct_less_15k,income_15k_25k_house,pct_15k_25k,income_25k_50k_house,pct_25k_50k,income_50k_75k_house,pct_50k_75k,income_greater_75k_house,pct_greater_75k,acs_pop,city_name,county_name,state,tri_facility_id,latitude,longitude,latitude_2,longitude_2
110000307864,HOVENSA LLC,LIMETREE BAY TERMINALS LLC,"LIMETREE BAY TERMINALS LLC.1 ESTATE HOPE, CHRISTIANSTED VIRGIN ISLANDS 00820 (ST CROIX)",11062.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHRISTIANSTED,ST CROIX,VI,00851HSSLVLIMET,17.7102,-64.7544,17.71,-64.754
110000307864,HOVENSA LLC,LIMETREE BAY TERMINALS LLC,"LIMETREE BAY TERMINALS LLC.1 ESTATE HOPE, CHRISTIANSTED VIRGIN ISLANDS 00820 (ST CROIX)",11062.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHRISTIANSTED,ST CROIX,VI,00851HSSLVLIMET,17.7102,-64.7544,17.71,-64.754
110000307864,HOVENSA LLC,LIMETREE BAY TERMINALS LLC,"LIMETREE BAY TERMINALS LLC.1 ESTATE HOPE, CHRISTIANSTED VIRGIN ISLANDS 00820 (ST CROIX)",11062.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHRISTIANSTED,ST CROIX,VI,00851HSSLVLIMET,17.7102,-64.7544,17.71,-64.754
110000321189,AXEON REFINING LLC,AXEON REFINING LLC,"AXEON REFINING LLC.4 PARADISE RD, PAULSBORO NEW JERSEY 08066 (GLOUCESTER)",830.305,3,21685,22.6398,5.7239,957.84,5156,8731,9537,375,4920,17050,0.7863,3359,0.1549,1044,0.0481,387,0.0178,42,0.0019,849,0.0392,1349,4906,16779,3321,447,1409,6039,3462,3603,923,0.1057,683,0.0782,1759,0.2015,1757,0.2012,3401,0.3895,21138,PAULSBORO,GLOUCESTER,NJ,08066SVWLC4PARA,39.840932,-75.226205,39.841,-75.226
110000321189,AXEON REFINING LLC,AXEON REFINING LLC,"AXEON REFINING LLC.4 PARADISE RD, PAULSBORO NEW JERSEY 08066 (GLOUCESTER)",830.305,1,2745,2.5084,0.5668,1094.33,654,1095,1172,127,632,2160,0.7869,420,0.153,159,0.0579,20,0.0073,12,0.0044,133,0.0485,188,639,2106,421,64,212,1059,451,388,120,0.1096,126,0.1151,231,0.211,307,0.2804,421,0.3845,3192,PAULSBORO,GLOUCESTER,NJ,08066SVWLC4PARA,39.840932,-75.226205,39.841,-75.226
110000321189,AXEON REFINING LLC,AXEON REFINING LLC,"AXEON REFINING LLC.4 PARADISE RD, PAULSBORO NEW JERSEY 08066 (GLOUCESTER)",830.305,5,103003,66.7232,11.7704,1543.74,30972,40717,43551,1198,24969,74130,0.7197,22976,0.2231,4312,0.0419,2186,0.0212,198,0.0019,3513,0.0341,6496,23717,79287,14357,2261,6234,28183,19220,14822,4318,0.106,3378,0.083,8759,0.2151,7918,0.1945,15625,0.3837,102156,PAULSBORO,GLOUCESTER,NJ,08066SVWLC4PARA,39.840932,-75.226205,39.841,-75.226
110000332220,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,"AMERICAN REFINING GROUP INC.77 N KENDALL AVE, BRADFORD PENNSYLVANIA 16701 (MCKEAN)",131906.87,3,14158,28.4307,0.1669,497.97,651,5659,6295,257,5352,13636,0.9631,165,0.0117,181,0.0128,122,0.0086,54,0.0038,181,0.0128,841,2986,11172,2236,281,768,4636,2016,1685,1005,0.1776,912,0.1612,2044,0.3612,1111,0.1963,921,0.1627,13749,BRADFORD,MCKEAN,PA,16701KNDLL77NKE,41.965472,-78.633108,41.965,-78.633
110000332220,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,"AMERICAN REFINING GROUP INC.77 N KENDALL AVE, BRADFORD PENNSYLVANIA 16701 (MCKEAN)",131906.87,1,4240,3.0894,0.0559,1372.3,176,1773,2009,68,1547,4103,0.9677,24,0.0057,62,0.0146,37,0.0087,17,0.004,59,0.0139,255,966,3273,737,95,196,1399,669,541,320,0.1805,285,0.1607,586,0.3305,333,0.1878,332,0.1873,4275,BRADFORD,MCKEAN,PA,16701KNDLL77NKE,41.965472,-78.633108,41.965,-78.633
110000332220,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,"AMERICAN REFINING GROUP INC.77 N KENDALL AVE, BRADFORD PENNSYLVANIA 16701 (MCKEAN)",131906.87,5,17721,77.65,0.2799,228.22,716,7136,7903,271,6333,17144,0.9674,171,0.0096,193,0.0109,135,0.0076,62,0.0035,209,0.0118,997,3704,14017,2927,326,904,5869,2531,2179,1116,0.1564,1106,0.155,2485,0.3482,1464,0.2052,1231,0.1725,17195,BRADFORD,MCKEAN,PA,16701KNDLL77NKE,41.965472,-78.633108,41.965,-78.633
110000335940,CASTROL INDUSTRIAL WARMINSTER,CASTROL INDUSTRIAL WARMINSTER,"CASTROL INDUSTRIAL WARMINSTER.775 LOUIS DR, WARMINSTER PENNSYLVANIA 18974 (BUCKS)",NA,3,77521,28.1551,0.0875,2753.35,9280,30631,32305,536,12348,70149,0.9049,2094,0.027,4069,0.0525,2167,0.028,138,0.0018,2974,0.0384,4048,16027,61493,15464,1135,3480,19425,14248,16530,1899,0.062,2503,0.0817,6665,0.2176,5878,0.1919,12945,0.4226,76109,WARMINSTER,BUCKS,PA,18974CSTRL775LO,40.20234,-75.08443,40.204,-75.082
