frs_id,facility_name
110000600840,WESTERN REFINING BLOOMFIELD TERMINAL
110067040856,DEER PARK REFINING LP
110017887330,ALON PETROLEUM BAKERSFIELD REFINERY AREAS 1 & 2
110011031052,WESTERN REFINING SOUTHWEST INC-GALLUP REFINERY
110043806085,PHILLIPS 66 CO BILLINGS REFINERY
110000483487,PHILLIPS 66 SAN FRANCISCO REFINERY
110063667599,EQUILON ENTERPRISES LLC ODESSA TERMINAL
110009771390,PREMCOR REFINING GROUP INC BEAUMONT MARKETING TERMINAL
110000486322,PAR HAWAII REFINING LLC
110032911669,VALERO REFINING-TEXAS LP
110000741760,TWO WASTEWATER TREATMENT UNIT
110000740967,EPIC MIDSTREAM LLC
110002465234,VP RACING FUELS INC
110039514665,PREMCOR ALSIP DISTRIBUTION CENTER
110000476048,VALERO WILMINGTON ASPHALT PLANT
110002445612,LONGVIEW REFINING ASSOC INC
110064125094,TESORO LONG BEACH TERMINAL
110002339719,INTERMOUNTAIN REFINING CO INC
110000554828,MARATHON PETROLEUM CO LP - MICHIGAN REFINING DIV
110006533359,EAST STORAGE / SPLITTER III FACILITY
110055089149,PETRO STAR INC NORTH POLE REFINERY
110043813816,ST PAUL PARK REFINING CO LLC
110000595348,CITGO PETROLEUM CORP LEMONT REFINERY
110013314323,ALON USA-BIG SPRING REFINERY
110059678353,DAKOTA PRAIRIE REFINING LLC
110025330602,BP CHEMICAL CO  DOCKS DIV
110008361263,CATLETTSBURG REFINING LLC
110004480035,KIANTONE PIPELINE CORP
110000428421,EXXONMOBIL BILLINGS REFINERY
110025329918,TESORO MANDAN REFINERY
110000454981,HOLLYFRONTIER TULSA REFINING WEST FACILITY
110069234661,KINDER MORGAN CRUDE & CONDENSATE LLC
110000307864,HOVENSA LLC
110000526805,ALON PETROLEUM BAKERSFIELD REFINERY AREA 3
110000340587,KINDER MORGAN OPERATING LP A
110000395475,LIMA REFINING CO
110044875668,FLINT HILLS RESOURCES ALASKA LLC
110000540317,CALUMET LUBRICANTS & WAXES LLC
110002345249,TRIGEANT LTD
110000600957,FORELAND REFINING CORP TONOPAH TERMINAL
110001103859,CHEVRON USA INC
110000602740,CHEVRON PHILLIPS CHEMICAL PUERTO RICO CORE LLC
110056537804,LUBRIZOL CORP DEER PARK FACILITY
110024825055,CLINTON BIODIESEL LLC
110000537250,TESORO REFINING & MARKETING CO LLC
110012479683,PARAMOUNT OF OREGON LLC WILLBRIDGE ASPHALT PLANT
110010261242,PENNZOIL-QUAKER STATE CO ROUSEVILLE REFY & PACKAGING
110000607371,PHILLIPS 66 LOS ANGELES REFINERY MARINE TERMINAL
110001244724,THE DOW CHEMICAL CO - LOUISIANA OPERATIONS
110042061238,WESTERN EL PASO REFINERY
110017428540,PACIFIC REFINING CO
110000384361,BP-HUSKY REFINING LLC
110000619260,DELEK LOGISTICS OPERATING LLC
110000474353,DEMENNO/KERDOON INC
110008820099,FLINT HILLS RESOURCES PINE BEND LLC SAVAGE
110000449140,QPL INC
110000398338,BP PRODUCTS NORTH AMERICA WHITING BUSINESS UNIT
110002107997,MARTIN OPERATING PTNR PASCAGOULA TERMINAL
110056961257,BLUE ISLAND PHENOL LLC
110000468093,SINCLAIR WYOMING REFINING CO
110000422962,CALUMET SUPERIOR LLC
110000462703,PASADENA REFINING SYSTEM INC
110000597248,CITGO PETROLEUM CORP
110059309699,BUCKEYE PERTH AMBOY TERMINAL
110010478571,GOLDEN WEST REFINING CO
110000597471,CALUMET LUBRICANTS CO LP CALUMET COTTON VALLEY
110067040838,SHELL CHEMICAL LP
110012413628,CALUMET PENRECO LLC
110000493555,MARATHON PETROLEUM CO LP OHIO REFINING DIV
