frs_id,CORPORATION,COMPANY_NAME,RDIST_LABEL,STATE_NAME,SITE,PRODUCT,QUANTITY
110000367102,HUNT CONSLD INC,HUNT REFINING CO,North Louisiana-Arkansas,Alabama,TUSCALOOSA,TOTAL OPERABLE CAPACITY,36000
110012509071,ROYAL DUTCH/SHELL GROUP,SHELL CHEMICAL LP,Louisiana Gulf Coast,Alabama,SARALAND,TOTAL OPERABLE CAPACITY,91575
,GOODWAY REFINING LLC,GOODWAY REFINING LLC,North Louisiana-Arkansas,Alabama,ATMORE,TOTAL OPERABLE CAPACITY,4100
,ARCTIC SLOPE REGIONAL CORP,PETRO STAR INC,West Coast,Alaska,VALDEZ,TOTAL OPERABLE CAPACITY,55000
,CONOCOPHILLIPS,CONOCOPHILLIPS ALASKA INC,West Coast,Alaska,PRUDHOE BAY,TOTAL OPERABLE CAPACITY,15000
,BP PLC,BP EXPLORATION ALASKA INC,West Coast,Alaska,PRUDHOE BAY,TOTAL OPERABLE CAPACITY,6500
,ARCTIC SLOPE REGIONAL CORP,PETRO STAR INC,West Coast,Alaska,NORTH POLE,TOTAL OPERABLE CAPACITY,19700
,TESORO CORP,TESORO ALASKA PETROLEUM CO,West Coast,Alaska,KENAI,TOTAL OPERABLE CAPACITY,62700
,MARTIN RESOURCE MANAGEMENT GRP,CROSS OIL REFINING & MARKETING INC,North Louisiana-Arkansas,Arkansas,SMACKOVER,TOTAL OPERABLE CAPACITY,7500
,DELEK GROUP LTD,LION OIL CO,North Louisiana-Arkansas,Arkansas,EL DORADO,TOTAL OPERABLE CAPACITY,83000
,VALERO ENERGY CORP,VALERO REFINING CO CALIFORNIA,West Coast,California,WILMINGTON REFINERY,TOTAL OPERABLE CAPACITY,85000
,VALERO ENERGY CORP,VALERO REFINING CO CALIFORNIA,West Coast,California,WILMINGTON ASPHALT PLANT,TOTAL OPERABLE CAPACITY,6300
,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,West Coast,California,WILMINGTON,TOTAL OPERABLE CAPACITY,139000
,TESORO CORP,TESORO REFINING & MARKETING CO,West Coast,California,WILMINGTON,TOTAL OPERABLE CAPACITY,94900
,PBF ENERGY CO LLC,TORRANCE REFINING CO LLC,West Coast,California,TORRANCE,TOTAL OPERABLE CAPACITY,150900
,WORLD OIL CO,LUNDAY THAGARD CO,West Coast,California,SOUTH GATE,TOTAL OPERABLE CAPACITY,8500
,GREKA ENERGY,SANTA MARIA REFINING COMPANY,West Coast,California,SANTA MARIA,TOTAL OPERABLE CAPACITY,9500
,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,West Coast,California,RODEO,TOTAL OPERABLE CAPACITY,120200
,CHEVRON CORP,CHEVRON USA INC,West Coast,California,RICHMOND,TOTAL OPERABLE CAPACITY,245271
,ALON ISRAEL OIL COMPANY LTD,PARAMOUNT PETROLEUM CORPORATION,West Coast,California,PARAMOUNT,TOTAL OPERABLE CAPACITY,84500
,TESORO CORP,TESORO REFINING & MARKETING CO,West Coast,California,MARTINEZ,TOTAL OPERABLE CAPACITY,166000
,ROYAL DUTCH/SHELL GROUP,Shell Oil Products US,West Coast,California,MARTINEZ,TOTAL OPERABLE CAPACITY,156400
,CHEVRON CORP,CHEVRON USA INC,West Coast,California,EL SEGUNDO,TOTAL OPERABLE CAPACITY,269000
,TESORO CORP,TESORO REFINING & MARKETING CO,West Coast,California,CARSON,TOTAL OPERABLE CAPACITY,269200
,VALERO ENERGY CORP,VALERO REFINING CO CALIFORNIA,West Coast,California,BENICIA,TOTAL OPERABLE CAPACITY,145000
,KERN OIL & REFINING CO,KERN OIL & REFINING CO,West Coast,California,BAKERSFIELD,TOTAL OPERABLE CAPACITY,26000
,SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,West Coast,California,BAKERSFIELD,TOTAL OPERABLE CAPACITY,15000
,SUNCOR ENERGY INC,SUNCOR ENERGY (USA) INC,Rocky Mountain,Colorado,COMMERCE CITY WEST,TOTAL OPERABLE CAPACITY,67000
,SUNCOR ENERGY INC,SUNCOR ENERGY (USA) INC,Rocky Mountain,Colorado,COMMERCE CITY EAST,TOTAL OPERABLE CAPACITY,36000
,PBF ENERGY CO LLC,DELAWARE CITY REFINING CO LLC,East Coast,Delaware,DELAWARE CITY,TOTAL OPERABLE CAPACITY,182200
,ISLAND ENERGY SERVICES LLC,ISLAND ENERGY SERVICES DOWNSTREAM,West Coast,Hawaii,HONOLULU,TOTAL OPERABLE CAPACITY,54000
,PAR PETROLEUM INC,HAWAII INDEPENDENT ENERGY LLC,West Coast,Hawaii,EWA BEACH,TOTAL OPERABLE CAPACITY,93500
,WRB REFINING LP,WRB REFINING LP,Indiana-Illinois-Kentucky,Illinois,WOOD RIVER,TOTAL OPERABLE CAPACITY,336000
,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,Indiana-Illinois-Kentucky,Illinois,ROBINSON,TOTAL OPERABLE CAPACITY,231000
,PDV AMERICA INC,PDV Midwest Refining LLC,Indiana-Illinois-Kentucky,Illinois,LEMONT,TOTAL OPERABLE CAPACITY,175940
,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,Indiana-Illinois-Kentucky,Illinois,JOLIET,TOTAL OPERABLE CAPACITY,238600
,BP PLC,BP PRODUCTS NORTH AMERICA INC,Indiana-Illinois-Kentucky,Indiana,WHITING,TOTAL OPERABLE CAPACITY,413500
,COUNTRYMARK COOP INC,COUNTRYMARK COOPERATIVE INC,Indiana-Illinois-Kentucky,Indiana,MOUNT VERNON,TOTAL OPERABLE CAPACITY,28200
,CHS INC,CHS MCPHERSON REFINERY INC,Oklahoma-Kansas-Missouri,Kansas,MCPHERSON,TOTAL OPERABLE CAPACITY,96000
,HOLLYFRONTIER CORP,HOLLYFRONTIER EL DORADO REFINING LLC,Oklahoma-Kansas-Missouri,Kansas,EL DORADO,TOTAL OPERABLE CAPACITY,150000
,CVR ENERGY,COFFEYVILLE RESOURCES RFG & MKTG,Oklahoma-Kansas-Missouri,Kansas,COFFEYVILLE,TOTAL OPERABLE CAPACITY,115000
,CONTINENTAL REFINING CO LLC,CONTINENTAL REFINING COMPANY LLC,Indiana-Illinois-Kentucky,Kentucky,SOMERSET,TOTAL OPERABLE CAPACITY,5500
,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,Indiana-Illinois-Kentucky,Kentucky,CATLETTSBURG,TOTAL OPERABLE CAPACITY,273000
,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Louisiana Gulf Coast,Louisiana,WESTLAKE,TOTAL OPERABLE CAPACITY,260000
,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET SHREVEPORT LLC,North Louisiana-Arkansas,Louisiana,SHREVEPORT,TOTAL OPERABLE CAPACITY,57000
,ROYAL DUTCH/SHELL GROUP,SHELL OIL PRODUCTS US,Louisiana Gulf Coast,Louisiana,SAINT ROSE,TOTAL OPERABLE CAPACITY,45000
,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET LUBRICANTS CO LP,North Louisiana-Arkansas,Louisiana,PRINCETON,TOTAL OPERABLE CAPACITY,8300
,PLACID OIL CO,PLACID REFINING CO,Louisiana Gulf Coast,Louisiana,PORT ALLEN,TOTAL OPERABLE CAPACITY,75000
