V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.COUNTY_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.FRS_ID,V_TRI_FORM_R_EZ.STATE_ABBR,V_TRI_FORM_R_EZ.TRI_FACILITY_ID
THREE RIVERS,LIVE OAK,VALERO THREE RIVERS REFINERY,110000464462,TX,78071DMNDS301LE
AUSTIN,TRAVIS,HUNTSMAN PETROCHEMICAL CORPORATION,110000465513,TX,78752TXCCH7114N
STEPHENS,OUACHITA,BERRY PETROLEUM CO,110000451181,AR,71764BRRYPBERRY
TUSCALOOSA,TUSCALOOSA,HUNT REFINING CO A CORP,110000367102,AL,35401HNTRF1855F
TORRANCE,LOS ANGELES,TORRANCE REFINING CO LLC,110000475263,CA,90509MBLLC3700W
PASADENA,HARRIS,JX NIPPON CHEMICAL TEXAS INC,110000462963,TX,77507NSSKC10500
ELMENDORF,BEXAR,VP RACING FUELS INC,110002465234,TX,78112VPRCN7124R
DUBUQUE,DUBUQUE,FLINT HILLS RESOURCES PINE BEND LLC DUBUQUE,110000414613,IA,52004KCHMT12THS
NIXON,WILSON,LAZARUS REFINERY LLC,110037848498,TX,78140LLPTRHWY87
KARNS CITY,BUTLER,CALUMET PENRECO LLC,110012413628,PA,16041PNNZLRD2BO
CORPUS CHRISTI,NUECES,FLINT HILLS RESOURCES CORPUS CHRISTI LLC - EAST PLANT,110038173981,TX,78408STHWS1700N
MARTINEZ,CONTRA COSTA,SHELL CHEMICAL CO MARTINEZ CATALYST PLANT,110000483254,CA,94553SHLLM10MOC
SWEENY,BRAZORIA,PHILLIPS 66 CO SAN BERNARD TER MINAL,110000497793,TX,77480PHLLPCR372
HERCULES,CONTRA COSTA,PACIFIC REFINING CO,110017428540,CA,94547PCFCROLDHI
HOUSTON,HARRIS,VALERO REFINING - TEXAS LP HOUSTON REFINERY,110000460885,TX,77012HLLPT9701M
HARTFORD,MADISON,PREMCOR HARTFORD DISTRIBUTION CENTER,110040961705,IL,62048CLRKLHAWTH
WARMINSTER,BUCKS,CASTROL INDUSTRIAL WARMINSTER,110000335940,PA,18974CSTRL775LO
NORTH POLE,FAIRBANKS NORTH STAR BORO,FLINT HILLS RESOURCES ALASKA LLC,110044875668,AK,99705MPCLS1100H
FERNDALE,WHATCOM,PHILLIPS 66 FERNDALE REFINERY,110000490139,WA,98248MBLLC3901U
DOUGLASVILLE,DOUGLAS,BITUMAR (GEORGIA) INC,110041343070,GA,30134YNGRF7982H
OREGON,LUCAS,BP-HUSKY REFINING LLC,110000384361,OH,43616SHLCM4001C
GREENVILLE,WASHINGTON,SCOTT BIODIESEL/GREENVILLE TERMINAL,110037144220,MS,38701SCTTB942NB
BIG SPRING,HOWARD,ALON USA-BIG SPRING REFINERY,110013314323,TX,79721FNLNDIS20E
KENAI,KENAI PENINSULA BOROUGH,TESORO ALASKA - KENAI REFINERY,110017413299,AK,99611TSRLSMILE2
SEATTLE,SNOHOMISH,ALON ASPHALT CO RICHMOND BEACH ASPHALT TERMINAL,110000500798,WA,98177PNTWL20500
CUT BANK,GLACIER,FLYING J INC,110001148099,MT,59427FLYNGHWY25
NORCO,ST CHARLES PARISH,MOTIVA ENTERPRISES LLC NORCO REFINERY,110000448864,LA,70079MTVNR15536
SUNRAY,MOORE,DIAMOND SHAMROCK REFINING CO LP,110000465719,TX,79086DMNDSSTARR
AUGUSTA,BUTLER,COASTAL REFINING & MARKETING  KS REFINING DIV,110001383182,KS,67010CSTLD321OA
WILMINGTON,LOS ANGELES,PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,110000476235,CA,90748NCLLS1660W
INDIANAPOLIS,MARION,MARATHON OIL CO REFINERY,110001129895,IN,46268RCKSL5000W
ARTESIA,EDDY,HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY,110000472630,NM,88210NVJRF501EA
BEAUMONT,JEFFERSON,PREMCOR REFINING GROUP INC BEAUMONT MARKETING TERMINAL,110009771390,TX,77705CLRKR9406W
CHEYENNE,LARAMIE,HOLLYFRONTIER CHEYENNE REFINING LLC,110000468048,WY,82007FRNTR2700E
WILMINGTON,LOS ANGELES,ULTRAMAR INC MARINE TERMINAL,110000476057,CA,90744LTRMR961LA
RICHMOND,RICHMOND (CITY),KINDER MORGAN TRANSMIX CO LLC,110000869828,VA,23234PRMRY3302D
BILLINGS,YELLOWSTONE,PHILLIPS 66 CO BILLINGS REFINERY,110043806085,MT,59101CNCBL401SO
COMMERCE CITY,ADAMS,SUNCOR ENERGY COMMERCE CITY REFINERY,110032913024,CO,80022CNCDN5801B
SWAINSBORO,EMANUEL,ELROY TURPENTINE CO,110000358069,GA,30401LRYTR331MA
HOUSTON,HARRIS,JET-LUBE INC,110000461287,TX,77028JTLBN4849H
DOUGLAS,CONVERSE,ANTELOPE REFINING,110042255234,WY,8263WNTLPR27HIG
SMETHPORT,MCKEAN,INTERNATIONAL WAXES INC,110000583850,PA,16749QKRSTINTER
MOUNDVILLE,HALE,HUNT REFINING CO,110007236446,AL,35474HNTRFSOUTH
PORT ARTHUR,JEFFERSON,PREMCOR REFINING GROUP INC PORT ARTHUR,110000464006,TX,77640CLRKR1801S
PURVIS,LAMAR,AMERADA HESS CORP PURVIS TERMINAL,110042054317,MS,39475MRDHSHIGHW
ARDMORE,CARTER,VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY,110000606746,OK,73401TTLPTHIGHW
BARNSDALL,OSAGE,BAKER PETROLITE LLC,110000454348,OK,74002PTRLTBIRCH
ALMA,GRATIOT,TPI PETROLEUM INC,110000408050,MI,48802TTLPTESUPE
PORT NECHES,JEFFERSON,MOTIVA PORT NECHES TERMINAL,110000599576,TX,77651TXCRFCORNE
OYSTER BAY,NASSAU,COMMANDER TERMINALS LLC,110019643411,NY,11771CMMNDONECO
PHILADELPHIA,PHILADELPHIA,SUN REFINING & MARKETING CO,110001203527,PA,19145CHVRN30THS
KROTZ SPRINGS,ST LANDRY PARISH,ALON REFINING KROTZ SPRINGS INC,110041023807,LA,70750HLLPTHWY10
PORT ARTHUR,JEFFERSON,TEXACO INC RESEARCH & DEVELOPMENT,110002134253,TX,77641TXCPRSAVAN
HALLETTSVILLE,LAVACA,ASSOCIATED NATURAL GAS INC WILCOX PLANT,110008060891,TX,77964SSCTD20MIS
WYNNEWOOD,GARVIN,WYNNEWOOD REFINING CO,110000453697,OK,73098KRRMC906SO
EL MIRAGE,MARICOPA,EQUILON ENTERPRISES LLC PHOENIX TRANSMIX FACILITY,110001694505,AZ,85335VLLYR12126
CONVENT,ST JAMES PARISH,CONVENT REFINERY,110000597337,LA,70723TXCRFFOOTO
WOODBINE,HOWARD,KINDER MORGAN OPERATING LP A,110000340587,MD,21797PRMRY929HO
SIGNAL HILL,LOS ANGELES,CHEMOIL SIGNAL HILL REFINERY,110040985556,CA,90806MCMLL2020W
SEVIERVILLE,SEVIER,CREATIONS BY CAROLE INC,110002106658,TN,37862CRTNS580HO
RICHMOND,HENRICO,PRIMARY CORP,110000842937,VA,23231PRMRY413BI
WEST SENECA,ERIE,KIANTONE PIPELINE CORP,110004480035,NY,1422WKNTNP55MEY
EL DORADO,BUTLER,EL PASO MERCHANT ENERGY PETROLEUM CO,110000446116,KS,67042CSTLD1835N
BENICIA,SOLANO,VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,110033145353,CA,94510XXNCS3400E
